City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,st. john's,47.5649,-52.7093,290.91,90,broken clouds,6.69,CA,998
224,betio village,1.358,172.9211,301.17,75,light rain,3.33,KI,7300
225,saint-pierre,-21.3393,55.4781,294.97,73,broken clouds,2.06,RE,2127
226,filadelfia,39.9523,-75.1638,298.01,75,clear sky,2.06,US,2032782
227,masterton,-40.9597,175.6575,284.75,62,scattered clouds,4.11,NZ,2035199
228,lycksele,64.5954,18.6735,286.08,100,overcast clouds,0.0,SE,1765
229,nadi,-17.8,177.4167,300.15,69,broken clouds,5.66,FJ,7279
230,topolobampo,25.6,-109.05,304.1,66,clear sky,3.6,MX,7123
231,holualoa,19.6228,-155.9522,300.06,76,scattered clouds,3.6,US,2002394
232,porto novo,6.4965,2.6036,298.05,88,overcast clouds,4.81,BJ,1119
233,mount pleasant,32.7941,-79.8626,303.15,92,clear sky,3.6,US,2035120
